Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9989999998956917,2.222669831529484e-16,0.998
3,0.9959999995827677,2.222669831529484e-16,1.0
4,0.990999998390674,5.556674578823711e-16,0.996
5,0.9839999983310701,2.222669831529484e-16,0.996
6,0.9749999985098835,3.3340047472942265e-16,1.0
7,0.9639999935626979,1.111334915764742e-16,0.992
8,0.9509999933242793,2.222669831529484e-16,0.984
9,0.93599999332428,3.3340047472942265e-16,0.982
10,0.9189999935626981,1.111334915764742e-16,0.97
11,0.8999999940395359,4.445339663058968e-16,0.952
12,0.8789999947547911,1.111334915764742e-16,0.942
13,0.8559999742507926,2.222669831529484e-16,0.908
14,0.8309999736547463,3.3340047472942265e-16,0.896
15,0.8039999732971185,2.222669831529484e-16,0.85
16,0.7750000268220895,1.111334915764742e-16,0.8
17,0.7440000305175775,3.3340047472942265e-16,0.738
18,0.7110000040531156,2.222669831529484e-16,0.662
19,0.6760000386238084,2.222669831529484e-16,0.564
20,0.6390000090599061,1.111334915764742e-16,0.544
21,0.6000000476837145,1.111334915764742e-16,0.516
22,0.5590000150203702,1.111334915764742e-16,0.382
23,0.515999979019165,2.222669831529484e-16,0.366
24,0.47100002193450924,1.6670023736471132e-16,0.33
25,0.4239999828338623,1.111334915764742e-16,0.262
26,0.3750000298023221,5.55667457882371e-17,0.246
27,0.3239999876022338,0.0,0.246
28,0.27100003862380934,5.55667457882371e-17,0.176
29,0.2159999933242798,2.778337289411855e-17,0.176
30,0.1590000483989709,2.778337289411855e-17,0.148
